Java HotSpot(TM) 64-Bit Server VM (25.72-b15) for linux-amd64 JRE (1.8.0_72-b15), built on Dec 22 2015 22:00:07 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 8094512k(6352056k free), swap 8305660k(8305660k free)
CommandLine flags: -XX:InitialHeapSize=67108864 -XX:MaxHeapSize=536870912 -XX:MaxMetaspaceSize=268435456 -XX:MetaspaceSize=100663296 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
0,606: [GC (Allocation Failure) [PSYoungGen: 16384K->2551K(18944K)] 16384K->3540K(62976K), 0,0040371 secs] [Times: user=0,00 sys=0,01, real=0,00 secs] 
1,004: [GC (Allocation Failure) [PSYoungGen: 18935K->2550K(18944K)] 19924K->7062K(62976K), 0,0058614 secs] [Times: user=0,01 sys=0,00, real=0,00 secs] 
1,264: [GC (Allocation Failure) [PSYoungGen: 18934K->2528K(18944K)] 23446K->12298K(62976K), 0,0153428 secs] [Times: user=0,05 sys=0,00, real=0,01 secs] 
1,338: [GC (GCLocker Initiated GC) [PSYoungGen: 18912K->2544K(35328K)] 29247K->14739K(79360K), 0,0088141 secs] [Times: user=0,04 sys=0,00, real=0,01 secs] 
1,563: [GC (Allocation Failure) [PSYoungGen: 35312K->2528K(35328K)] 47510K->19275K(79360K), 0,0111702 secs] [Times: user=0,04 sys=0,00, real=0,01 secs] 
1,821: [GC (Allocation Failure) [PSYoungGen: 35296K->6604K(74752K)] 52043K->23352K(118784K), 0,0124445 secs] [Times: user=0,03 sys=0,01, real=0,01 secs] 
2,587: [GC (Allocation Failure) [PSYoungGen: 72008K->9194K(74752K)] 88755K->39448K(118784K), 0,0289306 secs] [Times: user=0,08 sys=0,03, real=0,03 secs] 
3,579: [GC (Allocation Failure) [PSYoungGen: 74720K->17380K(141312K)] 104974K->58153K(185344K), 0,0407151 secs] [Times: user=0,15 sys=0,01, real=0,04 secs] 
3,620: [Full GC (Ergonomics) [PSYoungGen: 17380K->4436K(141312K)] [ParOldGen: 40773K->43533K(82432K)] 58153K->47970K(223744K), [Metaspace: 50996K->50977K(1097728K)], 0,1793055 secs] [Times: user=0,65 sys=0,02, real=0,18 secs] 
5,246: [GC (Allocation Failure) [PSYoungGen: 128340K->24569K(148480K)] 171874K->70613K(230912K), 0,0238420 secs] [Times: user=0,06 sys=0,01, real=0,02 secs] 
6,611: [GC (Allocation Failure) [PSYoungGen: 148473K->23946K(136192K)] 194517K->73610K(218624K), 0,0257242 secs] [Times: user=0,07 sys=0,01, real=0,03 secs] 
